smt,#genre#
Arena Bola 1,http://96.44.160.246:9999/smt.php?id=Bolaarena1
Arena Bola 2,http://96.44.160.246:9999/smt.php?id=Bolaarena2
Astro Golf,http://96.44.160.246:9999/smt.php?id=Agolf
RTM Sports HD,http://96.44.160.246:9999/smt.php?id=Rtmsport
Astro Football,http://96.44.160.246:9999/smt.php?id=go_assp4
Astro Football (Back Up 1),http://96.44.160.246:9999/smt.php?id=Assp4
Astro Badminton,http://96.44.160.246:9999/smt.php?id=go_badminton1
Astro Badminton 2,http://96.44.160.246:9999/smt.php?id=go_badminton2
SPOTV 1 HD,http://96.44.160.246:9999/smt.php?id=go_spotv
SPO TV 2,http://96.44.160.246:9999/smt.php?id=go_spotv2
CCTV-5 體育,http://96.44.160.246:9999/smt.php?id=cctv5
CCTV-5+ 體育,http://96.44.160.246:9999/smt.php?id=cctv5plus
Supersports 2,http://96.44.160.246:9999/smt.php?id=Assp2
Astro Grandstand,http://96.44.160.246:9999/smt.php?id=go_assp3
Astro Cricket,http://96.44.160.246:9999/smt.php?id=Acricket
Tnt Sports 1,http://96.44.160.246:9999/smt.php?id=tntsport1
Astro Grandstand (Back Up 1),http://96.44.160.246:9999/smt.php?id=Assp3
TNT Sports 2,http://96.44.160.246:9999/smt.php?id=tntsport2
TNT Sports 3,http://96.44.160.246:9999/smt.php?id=tntsport3
TNT Sports 4,http://96.44.160.246:9999/smt.php?id=tntsport4
Astro Sports Plus,http://96.44.160.246:9999/smt.php?id=go_sportsplus
Elta体育1台,http://96.44.160.246:9999/smt.php?id=eltasport1_twn
Elta體育2台,http://96.44.160.246:9999/smt.php?id=eltasport2_twn
Elta體育3台,http://96.44.160.246:9999/smt.php?id=eltasport3_twn
Rugby Pass TV,http://96.44.160.246:9999/smt.php?id=Rugbypasstv
Astro Beinsports 1,http://96.44.160.246:9999/smt.php?id=Astrobein1
Astro Beinsports 2,http://96.44.160.246:9999/smt.php?id=Astrobein2
Astro Beinsports 3,http://96.44.160.246:9999/smt.php?id=Astrobein3
Skysports Cricket,http://96.44.160.246:9999/smt.php?id=tiankongcricket
Skysports EPL,http://96.44.160.246:9999/smt.php?id=tiankongepl
Skysports F1,http://96.44.160.246:9999/smt.php?id=tiankongf1
Skysports Golf,http://96.44.160.246:9999/smt.php?id=tiankonggolf
Skysports Main Event,http://96.44.160.246:9999/smt.php?id=tiankongmain
Skysports Mix,http://96.44.160.246:9999/smt.php?id=tiankongmix
Skysports Racing,http://96.44.160.246:9999/smt.php?id=tiankongracing
DAZN 1,http://96.44.160.246:9999/smt.php?id=dazn1_twn
DAZN 2,http://96.44.160.246:9999/smt.php?id=dazn2_twn
Eurosport,http://96.44.160.246:9999/smt.php?id=Eurosport
翡翠台,http://96.44.160.246:9999/smt.php?id=jade_twn
翡翠台 (Back up 1),http://96.44.160.246:9999/smt.php?id=jade_xue
J 2,http://96.44.160.246:9999/smt.php?id=j2_twn
珍珠台,http://96.44.160.246:9999/smt.php?id=pearl_twn
凤凰香港,http://96.44.160.246:9999/smt.php?id=hkphoenix_twn
无线财经资讯台,http://96.44.160.246:9999/smt.php?id=hoycaijing_twn
RHK 31,http://96.44.160.246:9999/smt.php?id=rhk31_twn
VIUTV1,http://96.44.160.246:9999/smt.php?id=viu1_twn
RHK 32,http://96.44.160.246:9999/smt.php?id=rhk32_twn
TVB Asia,http://96.44.160.246:9999/smt.php?id=Tvbasia
凤凰卫视,http://96.44.160.246:9999/smt.php?id=phoenixtv_hd
鳳凰資訊,http://96.44.160.246:9999/smt.php?id=phoenixinfo_hd
TVB Entertainment,http://96.44.160.246:9999/smt.php?id=Tvbentertainment
TVB Classic,http://96.44.160.246:9999/smt.php?id=Tvbclassic
Viu6,http://96.44.160.246:9999/smt.php?id=viusix_twn
TVBS 歡樂台,http://96.44.160.246:9999/smt.php?id=tvbshuanle_twn
TVBS HD,http://96.44.160.246:9999/smt.php?id=tvbs
中天娱乐 CTI Entertaiment,http://96.44.160.246:9999/smt.php?id=ctient
中天综合 CTI Metro,http://96.44.160.246:9999/smt.php?id=ctizhonghe
中天亚洲台,http://96.44.160.246:9999/smt.php?id=ctiasia_twn
台视 TTV HD,http://96.44.160.246:9999/smt.php?id=ttv_taiwan
台视综合台,http://96.44.160.246:9999/smt.php?id=ttvzhonghe
中视 HD,http://96.44.160.246:9999/smt.php?id=zhongshihd_twn
民视 HD,http://96.44.160.246:9999/smt.php?id=ftvhd_taiwan
民视台湾台,http://96.44.160.246:9999/smt.php?id=ftvtaiwan_twn
华视 CTS HD,http://96.44.160.246:9999/smt.php?id=ctshd_twn
公视 CTV,http://96.44.160.246:9999/smt.php?id=ctv18_twn
八大第一 GTV First,http://96.44.160.246:9999/smt.php?id=badafirst
八大综合 GTV Metro,http://96.44.160.246:9999/smt.php?id=badazhonghe
八大戏剧 GTV Drama,http://96.44.160.246:9999/smt.php?id=badadrama
八大娱乐 GTV Entertainment,http://96.44.160.246:9999/smt.php?id=badaentertain
三立台湾 Sanli Taiwan,http://96.44.160.246:9999/smt.php?id=sanlitaiwan
三立戏剧台,http://96.44.160.246:9999/smt.php?id=sanlixiju_twn
三立综合 Sanli Metro,http://96.44.160.246:9999/smt.php?id=sanlizhonghe
三立都会台,http://96.44.160.246:9999/smt.php?id=sanlidouhui_twn
东森综合 ETTV Metro,http://96.44.160.246:9999/smt.php?id=ettvzhonghe
东森戏剧 ETTV Drama,http://96.44.160.246:9999/smt.php?id=ettvdrama
公视2,http://96.44.160.246:9999/smt.php?id=ctv2_twn
大爱1台,http://96.44.160.246:9999/smt.php?id=daai_twn
龙华戏剧 Lunghua Drama,http://96.44.160.246:9999/smt.php?id=lunghuaxiju_twn
龙华经典台,http://96.44.160.246:9999/smt.php?id=lunghuajingdian_twn
龙华偶像,http://96.44.160.246:9999/smt.php?id=lunghuaidol_twn
靖天国际台,http://96.44.160.246:9999/smt.php?id=jingtianintl_twn
年代新闻,http://96.44.160.246:9999/smt.php?id=niandainews_twn
纬来日本台,http://96.44.160.246:9999/smt.php?id=videolandjapan
纬来电影台,http://96.44.160.246:9999/smt.php?id=videolandmovie
纬来体育台,http://96.44.160.246:9999/smt.php?id=videolandsport
纬来综合台,http://96.44.160.246:9999/smt.php?id=videolandzonghe
纬来育乐,http://96.44.160.246:9999/smt.php?id=videolandmax
纬来精彩,http://96.44.160.246:9999/smt.php?id=videolandtv
好消息 2,http://96.44.160.246:9999/smt.php?id=good2_twn
亚洲美食,http://96.44.160.246:9999/smt.php?id=afc_twn
亚洲旅游 TLC Asia,http://96.44.160.246:9999/smt.php?id=tlc_twn
阿里郎 Arirang,http://96.44.160.246:9999/smt.php?id=arirang_twn
博斯运动 1,http://96.44.160.246:9999/smt.php?id=bosisport1_twn
博斯运动 2,http://96.44.160.246:9999/smt.php?id=bosisport2_twn
博斯无限,http://96.44.160.246:9999/smt.php?id=bosiunlimited_twn
MTV Live,http://96.44.160.246:9999/smt.php?id=mtvhd_twn
EYETV 旅游,http://96.44.160.246:9999/smt.php?id=eyetvtravel_twn
靖天卡通台,http://96.44.160.246:9999/smt.php?id=jingtiancartoon_twn
EYETV 戏剧,http://96.44.160.246:9999/smt.php?id=eyetvxiju_twn
东森幼幼 Yoyo TV,http://96.44.160.246:9999/smt.php?id=yoyo_twn
爱尔达戏剧台,http://96.44.160.246:9999/smt.php?id=eltadrama_twn
Asia Food Network,http://96.44.160.246:9999/smt.php?id=Afc
探索频道,http://96.44.160.246:9999/smt.php?id=discoverych_twn
CCTV-1 綜合,http://96.44.160.246:9999/smt.php?id=cctv1
CCTV-2 財經,http://96.44.160.246:9999/smt.php?id=cctv2
CCTV-3 綜藝,http://96.44.160.246:9999/smt.php?id=cctv3
CCTV-4 中文國際,http://96.44.160.246:9999/smt.php?id=Cctv4
CCTV-4 中文國際 (備:1),http://96.44.160.246:9999/smt.php?id=cctv4
CCTV-7 軍事農業,http://96.44.160.246:9999/smt.php?id=cctv7
CCTV-8 電視劇,http://96.44.160.246:9999/smt.php?id=cctv8hd
CCTV-9 紀錄,http://96.44.160.246:9999/smt.php?id=cctv9hd
CCTV-10 科教,http://96.44.160.246:9999/smt.php?id=cctv10hd
CCTV-11 戲曲,http://96.44.160.246:9999/smt.php?id=cctv11
CCTV-12 社會與法,http://96.44.160.246:9999/smt.php?id=cctv12
CCTV-13 新聞與頻道,http://96.44.160.246:9999/smt.php?id=cctv13
CCTV-14 少兒,http://96.44.160.246:9999/smt.php?id=cctv14
CCTV-15 音樂,http://96.44.160.246:9999/smt.php?id=cctv15
湖南卫视,http://96.44.160.246:9999/smt.php?id=hunan_twn
浙江卫视,http://96.44.160.246:9999/smt.php?id=zhejiang_twn
江苏卫视,http://96.44.160.246:9999/smt.php?id=jiangsu_twn
深圳卫视,http://96.44.160.246:9999/smt.php?id=shenzhen
福建东南卫视,http://96.44.160.246:9999/smt.php?id=fujian
广东大湾区卫视,http://96.44.160.246:9999/smt.php?id=nanfang_twn
广东卫视,http://96.44.160.246:9999/smt.php?id=guangdongweishi_twn
北京卫视,http://96.44.160.246:9999/smt.php?id=beijing
珠江台,http://96.44.160.246:9999/smt.php?id=zhujiang
广西卫视,http://96.44.160.246:9999/smt.php?id=guangxi
湖北卫视,http://96.44.160.246:9999/smt.php?id=hubei
四川卫视,http://96.44.160.246:9999/smt.php?id=sichuan_twn
东方卫视,http://96.44.160.246:9999/smt.php?id=dongfangweishi_twn
Yonhap News,http://96.44.160.246:9999/smt.php?id=yonhapnews_korea
CBS,http://96.44.160.246:9999/smt.php?id=cbs_korea
EBS 1,http://96.44.160.246:9999/smt.php?id=ebs1_korea
EBS2,http://96.44.160.246:9999/smt.php?id=ebs2_korea
EBS Plus2,http://96.44.160.246:9999/smt.php?id=ebsplus2_korea
SBS Plus,http://96.44.160.246:9999/smt.php?id=sbsplus_korea
YTN,http://96.44.160.246:9999/smt.php?id=ytn_korea
KBS World 24,http://96.44.160.246:9999/smt.php?id=kbsworld24_korea
YTN Science,http://96.44.160.246:9999/smt.php?id=ytnscience_korea
YTN Korean,http://96.44.160.246:9999/smt.php?id=ytnkorean_korea
YTN DMB,http://96.44.160.246:9999/smt.php?id=ytndmb_korea
Apps TV,http://96.44.160.246:9999/smt.php?id=appongoogle_korea
All the Kpop,http://96.44.160.246:9999/smt.php?id=allthekpop_korea
J the Kpop,http://96.44.160.246:9999/smt.php?id=jthekpop_korea
EBS Kids,http://96.44.160.246:9999/smt.php?id=ebskids_korea
CGNTV,http://96.44.160.246:9999/smt.php?id=cgntv_korea
NHK-総合-2,http://96.44.160.246:9999/smt.php?id=nhkg_japan
NHK-E,http://96.44.160.246:9999/smt.php?id=nhke_japan
テレビ朝日 Asahi TV,http://96.44.160.246:9999/smt.php?id=asahitv_japan
JET 綜合,http://96.44.160.246:9999/smt.php?id=jettv_japan
テレビ東京 Tokyo TV,http://96.44.160.246:9999/smt.php?id=tokyotv_japan
TOKYOMX,http://96.44.160.246:9999/smt.php?id=tokyomx_japan
NHKBS1,http://96.44.160.246:9999/smt.php?id=nhkbs1_japan
NHKBSプレミア Premium,http://96.44.160.246:9999/smt.php?id=nhkpremium_japan
BSジャパン 181,http://96.44.160.246:9999/smt.php?id=bs181_japan
BSフジ BS Fuji,http://96.44.160.246:9999/smt.php?id=bsfuji_japan
CNA Japan,http://96.44.160.246:9999/smt.php?id=cna_japan
BS-TBS,http://96.44.160.246:9999/smt.php?id=bstbs_japan
NHK Oaska,http://96.44.160.246:9999/smt.php?id=nhkosaka_japan
Sun TV HD,http://96.44.160.246:9999/smt.php?id=Suntv
Star Vijay,http://96.44.160.246:9999/smt.php?id=Starvijay
Colors Tamil,http://96.44.160.246:9999/smt.php?id=Colorstam
Sun Music,http://96.44.160.246:9999/smt.php?id=Sunmusic
Astro Sunlife,http://96.44.160.246:9999/smt.php?id=Sunlife
Astro Vaanavil,http://96.44.160.246:9999/smt.php?id=Vaanavil
Zee Tamil,http://96.44.160.246:9999/smt.php?id=Zeetamil
Zee Business,http://96.44.160.246:9999/smt.php?id=Zeebusiness
News 18 Tamil,http://96.44.160.246:9999/smt.php?id=news18tamil_raj
Adithya,http://96.44.160.246:9999/smt.php?id=Adithya
Makkal TV,http://96.44.160.246:9999/smt.php?id=Makkaltv
Zee Action,http://96.44.160.246:9999/smt.php?id=Zeeaction
Astro KTV,http://96.44.160.246:9999/smt.php?id=Astroktv
Zee TV HD,http://96.44.160.246:9999/smt.php?id=Zeetvhd
Zee Cinema HD,http://96.44.160.246:9999/smt.php?id=Zeecinemahd
Color HD,http://96.44.160.246:9999/smt.php?id=Colorhd
Starplus HD,http://96.44.160.246:9999/smt.php?id=Starplushd
Picture HD,http://96.44.160.246:9999/smt.php?id=Npicture
Zee News,http://96.44.160.246:9999/smt.php?id=Zeenews
Asianet,http://96.44.160.246:9999/smt.php?id=asianet_raj
Asianet News,http://96.44.160.246:9999/smt.php?id=asianetnews_raj
Discovery World Tamil,http://96.44.160.246:9999/smt.php?id=discoveryworldtam_raj
History Tamil,http://96.44.160.246:9999/smt.php?id=historytam_raj
NatGeo Tamil,http://96.44.160.246:9999/smt.php?id=natgeotamil_raj
Natgeo Wild Tamil,http://96.44.160.246:9999/smt.php?id=natgeowildtamil_raj
Discovery Kids Tamil,http://96.44.160.246:9999/smt.php?id=discoverykidtamil_raj
Sony Yay Tamil,http://96.44.160.246:9999/smt.php?id=sonyyaytam_raj
Sun TV India,http://96.44.160.246:9999/smt.php?id=suntv_raj
Starmaa HD,http://96.44.160.246:9999/smt.php?id=starmaa_raj
Starmaa Movies HD,http://96.44.160.246:9999/smt.php?id=starmaamovies_raj
Vijay Super,http://96.44.160.246:9999/smt.php?id=vijaysuper_raj
Bollyone,http://96.44.160.246:9999/smt.php?id=Bollyone
Thangathirai,http://96.44.160.246:9999/smt.php?id=Thangathirai
Vinmeen,http://96.44.160.246:9999/smt.php?id=Vinmeen
Vellithirai,http://96.44.160.246:9999/smt.php?id=Vellithirai
Sony Pictures HD,http://96.44.160.246:9999/smt.php?id=sonypix
ANTV,http://96.44.160.246:9999/smt.php?id=vtn_antv
VTV 1,http://96.44.160.246:9999/smt.php?id=vtn_vtv1
VTV 3,http://96.44.160.246:9999/smt.php?id=vtn_vtv3
VTV 4,http://96.44.160.246:9999/smt.php?id=vtn_vtv4
VTV 6,http://96.44.160.246:9999/smt.php?id=vtn_vtv6
HTV 7,http://96.44.160.246:9999/smt.php?id=vtn_htv7
HTV 9,http://96.44.160.246:9999/smt.php?id=vtn_htv9
THVL HD,http://96.44.160.246:9999/smt.php?id=vtn_thvl
TBKTV,http://96.44.160.246:9999/smt.php?id=vtn_tbktv
BTV HD,http://96.44.160.246:9999/smt.php?id=vtn_btvhd
CTV HD,http://96.44.160.246:9999/smt.php?id=vtn_ctvhd
Channel 3 Thailand,http://96.44.160.246:9999/smt.php?id=ch3_pat
Channel 5 Thailand,http://96.44.160.246:9999/smt.php?id=ch5_pat
Channel 7 Thailand,http://96.44.160.246:9999/smt.php?id=ch7_pat
MCOT HD Thailand-1,http://96.44.160.246:9999/smt.php?id=mcot_pat
PPTV Thailand1,http://96.44.160.246:9999/smt.php?id=pptv_pat
Thai Thai,http://96.44.160.246:9999/smt.php?id=thaithai_pat
Amarin,http://96.44.160.246:9999/smt.php?id=amarin_pat
Ch 8,http://96.44.160.246:9999/smt.php?id=ch8_pat
GmmOne,http://96.44.160.246:9999/smt.php?id=gmmone_pat
Mono,http://96.44.160.246:9999/smt.php?id=mono_pat
Thairath,http://96.44.160.246:9999/smt.php?id=thairath_pat
tpbs,http://96.44.160.246:9999/smt.php?id=tpbs_pat
Workpoint,http://96.44.160.246:9999/smt.php?id=workpoint_pat
Gmm Channel,http://96.44.160.246:9999/smt.php?id=gmmchannel_pat
Nation,http://96.44.160.246:9999/smt.php?id=nation_pat
Tnn24,http://96.44.160.246:9999/smt.php?id=tnn24_pat
Nbt,http://96.44.160.246:9999/smt.php?id=nbt_pat
New,http://96.44.160.246:9999/smt.php?id=new_pat
TPTV,http://96.44.160.246:9999/smt.php?id=tptv_pat
Test 1,http://96.44.160.246:9999/smt.php?id=AAA1
Test 2,http://96.44.160.246:9999/smt.php?id=AAA2
Test 3,http://96.44.160.246:9999/smt.php?id=AAA3
Test 4,http://96.44.160.246:9999/smt.php?id=AAA4
Test 5,http://96.44.160.246:9999/smt.php?id=AAA5
BBC 1,http://96.44.160.246:9999/smt.php?id=bbc1_antik
BBC 2,http://96.44.160.246:9999/smt.php?id=bbc2_antik
CBBC,http://96.44.160.246:9999/smt.php?id=cbbc_antik
More4,http://96.44.160.246:9999/smt.php?id=more4_antik
Freesports,http://96.44.160.246:9999/smt.php?id=freesports_antik
Pick TV,http://96.44.160.246:9999/smt.php?id=picktv_antik
itv 1,http://96.44.160.246:9999/smt.php?id=itv1_antik
itv 2,http://96.44.160.246:9999/smt.php?id=itv2_antik
Euronews,http://96.44.160.246:9999/smt.php?id=euronews_antik
Channel 4,http://96.44.160.246:9999/smt.php?id=channel4_antik
NatGeo HD,http://96.44.160.246:9999/smt.php?id=Natgeo
CBeebies,http://96.44.160.246:9999/smt.php?id=Cbeebies
History,http://96.44.160.246:9999/smt.php?id=History
Kids TV,http://96.44.160.246:9999/smt.php?id=KidsTV
BBC Earth HD,http://96.44.160.246:9999/smt.php?id=bbcearth_twn
BBC Earth Lifestyle,http://96.44.160.246:9999/smt.php?id=bbclifestyle_twn
HGTV,http://96.44.160.246:9999/smt.php?id=HGTV
TLC,http://96.44.160.246:9999/smt.php?id=Tlc
Nickelodeon,http://96.44.160.246:9999/smt.php?id=Nickelodeon
Nick Jr,http://96.44.160.246:9999/smt.php?id=Nickjr
Animal Planet (Eng),http://96.44.160.246:9999/smt.php?id=AnimalPlanet
NatGeo Wild HD,http://96.44.160.246:9999/smt.php?id=Natgeowild
BBC World News,http://96.44.160.246:9999/smt.php?id=bbcworldnews_antik
Channel 5,http://96.44.160.246:9999/smt.php?id=Channel5HD
Channel 5 backup,http://96.44.160.246:9999/smt.php?id=Mewatch_ch5
Channel 8,http://96.44.160.246:9999/smt.php?id=Channel8HD
Channel 8 backup,http://96.44.160.246:9999/smt.php?id=Mewatch_ch8
Channel U,http://96.44.160.246:9999/smt.php?id=ChannelU
Channel U backup,http://96.44.160.246:9999/smt.php?id=Mewatch_chU
Suria,http://96.44.160.246:9999/smt.php?id=Suria
Suria backup,http://96.44.160.246:9999/smt.php?id=Mewatch_Suria
Vasantham,http://96.44.160.246:9999/smt.php?id=Vasantham
Vasantham backup,http://96.44.160.246:9999/smt.php?id=Mewatch_Vasantham
CNA backup1,http://96.44.160.246:9999/smt.php?id=Mewatch_cna
CNA backup2,http://96.44.160.246:9999/smt.php?id=cna_twn
TV1,http://96.44.160.246:9999/smt.php?id=TV1
TV1 backup,http://96.44.160.246:9999/smt.php?id=TV1_backup
TV2,http://96.44.160.246:9999/smt.php?id=TV2
TV3,http://96.44.160.246:9999/smt.php?id=TV3
TV3 SD,http://96.44.160.246:9999/smt.php?id=TV3_mega
TV3 backup,http://96.44.160.246:9999/smt.php?id=TV3_backup
TV3 backup2,http://96.44.160.246:9999/smt.php?id=TV3_1
TV5,http://96.44.160.246:9999/smt.php?id=TV5
NTV7,http://96.44.160.246:9999/smt.php?id=NTV7
8TV,http://96.44.160.246:9999/smt.php?id=TV8
TV9,http://96.44.160.246:9999/smt.php?id=TV9
Al-Hijrah,http://96.44.160.246:9999/smt.php?id=Alhijrah
Quran,http://96.44.160.246:9999/smt.php?id=quran_mido
Sunnah,http://96.44.160.246:9999/smt.php?id=sunnah_mido
Bernama,http://96.44.160.246:9999/smt.php?id=Bernama
Awani,http://96.44.160.246:9999/smt.php?id=Awani
Ceria,http://96.44.160.246:9999/smt.php?id=Ceria
Oasis,http://96.44.160.246:9999/smt.php?id=Oasis
Boo,http://96.44.160.246:9999/smt.php?id=Boo
Citra,http://96.44.160.246:9999/smt.php?id=AAcitra1
Prima,http://96.44.160.246:9999/smt.php?id=Prima
Prima backup,http://96.44.160.246:9999/smt.php?id=AAprima
Ria,http://96.44.160.246:9999/smt.php?id=Ria-0
Ria-3,http://96.44.160.246:9999/smt.php?id=Ria_backup
Awesome TV,http://96.44.160.246:9999/smt.php?id=Dsangat
Aura,http://96.44.160.246:9999/smt.php?id=Aura
Sensasi,http://96.44.160.246:9999/smt.php?id=Sensasi
Siar,http://96.44.160.246:9999/smt.php?id=Siar
Rania,http://96.44.160.246:9999/smt.php?id=Rania
WION,http://96.44.160.246:9999/smt.php?id=Wion
Astro MTV,http://96.44.160.246:9999/smt.php?id=AstroMTV
Showcase,http://96.44.160.246:9999/smt.php?id=Showcase
RTM Asean,http://96.44.160.246:9999/smt.php?id=Rtmasean
Foodnetwork Hd,http://96.44.160.246:9999/smt.php?id=Foodnetwork
Cartoon Network,http://96.44.160.246:9999/smt.php?id=Cn
TvN,http://96.44.160.246:9999/smt.php?id=TVN
KBS World,http://96.44.160.246:9999/smt.php?id=KBS
Sony HD,http://96.44.160.246:9999/smt.php?id=SetOne
AEC,http://96.44.160.246:9999/smt.php?id=AEC
AOD,http://96.44.160.246:9999/smt.php?id=Aodhd
华丽台 HD (Wah Lai Toi),http://96.44.160.246:9999/smt.php?id=Wlt
欢喜台 HD(Hua Hee Tai),http://96.44.160.246:9999/smt.php?id=Huahee
Astro QJ,http://96.44.160.246:9999/smt.php?id=Quanjia
TVB Jade,http://96.44.160.246:9999/smt.php?id=Tvbjade
爱奇艺 iQiyi,http://96.44.160.246:9999/smt.php?id=Qiyi
TVB 星河台  Xing He,http://96.44.160.246:9999/smt.php?id=Xinhe
Discovery Asia,http://96.44.160.246:9999/smt.php?id=Discoveryasia
Dmax,http://96.44.160.246:9999/smt.php?id=Dmax
Celestial Movies HD,http://96.44.160.246:9999/smt.php?id=Celestial
Astro LOL,http://96.44.160.246:9999/smt.php?id=Astro_lol
TVRi National,http://96.44.160.246:9999/smt.php?id=TVRI
